,Time,temperature,humidity,tvoc,co2
4587,2020-06-01T05:32:27Z,25.3616666666667,61.0683333333333,10.3333333333333,471
4588,2020-06-01T05:02:27Z,25.3733333333333,61.0516666666667,10.5,471.5
4589,2020-06-01T04:32:27Z,25.3866666666667,61.0333333333333,11,475.5
4590,2020-06-01T04:02:27Z,25.3933333333333,61.0066666666667,11,477.166666666667
4591,2020-06-01T03:32:27Z,25.4183333333333,60.9933333333333,11,478
4592,2020-06-01T03:02:27Z,25.4233333333333,60.9716666666667,11.6666666666667,481.333333333333
4593,2020-06-01T02:32:27Z,25.45,60.945,12.1666666666667,483.666666666667
4594,2020-06-01T02:02:27Z,25.46,60.9083333333333,12.5,485
4595,2020-06-01T01:32:27Z,25.4866666666667,60.88,13,487
4596,2020-06-01T01:02:27Z,25.4983333333333,60.8416666666667,13,487
4597,2020-06-01T00:32:27Z,25.5216666666667,60.8666666666667,13.5,490
4598,2020-06-01T00:02:27Z,25.5216666666667,60.8433333333333,13.8333333333333,492
4599,2020-05-31T23:32:27Z,25.5533333333333,60.8666666666667,14,493.666666666667
4600,2020-05-31T23:02:27Z,25.555,60.8983333333333,14.1666666666667,497.5
4601,2020-05-31T22:32:27Z,25.59,60.96,14.5,498.5
4602,2020-05-31T22:02:27Z,25.6033333333333,61.1183333333333,15,500
4603,2020-05-31T21:32:27Z,25.625,61.1716666666667,15,500
4604,2020-05-31T21:02:27Z,25.66,61.215,15.3333333333333,502.666666666667
4605,2020-05-31T20:32:27Z,25.6783333333333,61.2216666666667,14.6666666666667,498.333333333333
4606,2020-05-31T20:02:27Z,25.7033333333333,61.2133333333333,14.1666666666667,496.666666666667
4607,2020-05-31T19:32:27Z,25.7183333333333,61.2066666666667,13.8333333333333,492.833333333333
4608,2020-05-31T19:02:27Z,25.7466666666667,61.14,8.16666666666667,457.5
4609,2020-05-31T18:32:27Z,25.7733333333333,61.1483333333333,8,457
4610,2020-05-31T18:02:27Z,25.7916666666667,61.13,8.33333333333333,458
4611,2020-05-31T17:32:27Z,25.825,61.0866666666667,8.16666666666667,457
4612,2020-05-31T17:02:27Z,25.8466666666667,61.0366666666667,7.83333333333333,454
4613,2020-05-31T16:32:27Z,25.8783333333333,61,8,455.5
4614,2020-05-31T16:02:27Z,25.8966666666667,61.0966666666667,8.33333333333333,457.5
4615,2020-05-31T15:32:27Z,25.9083333333333,61.1083333333333,8.16666666666667,457.5
4616,2020-05-31T15:02:27Z,25.9383333333333,61.1333333333333,9,460.5
4617,2020-05-31T14:32:27Z,25.94,61.1883333333333,9.33333333333333,462.666666666667
4618,2020-05-31T14:02:27Z,25.97,61.19,9.66666666666667,464
4619,2020-05-31T13:32:27Z,26.0033333333333,61.1783333333333,10,469
4620,2020-05-31T13:02:27Z,26.005,61.1283333333333,10,468
4621,2020-05-31T12:32:27Z,26.0033333333333,61.0866666666667,10,466
4622,2020-05-31T12:02:27Z,26.005,61.02,9.5,463
4623,2020-05-31T11:32:27Z,25.9883333333333,60.97,9.33333333333333,462
4624,2020-05-31T11:02:27Z,25.975,60.9033333333333,8.83333333333333,459.5
4625,2020-05-31T10:32:27Z,25.9716666666667,60.8166666666667,8.83333333333333,459.5
4626,2020-05-31T10:02:27Z,25.97,60.75,8.66666666666667,459.666666666667
4627,2020-05-31T09:32:27Z,25.9583333333333,60.7183333333333,8.5,459.666666666667
4628,2020-05-31T09:02:27Z,25.99,60.5483333333333,8,459
4629,2020-05-31T08:32:27Z,25.99,60.4616666666667,8.16666666666667,459.5
4630,2020-05-31T08:02:27Z,26.01,60.3666666666667,8.33333333333333,460
4631,2020-05-31T07:32:27Z,26.02,60.2983333333333,11,476.833333333333
4632,2020-05-31T07:02:27Z,25.9716666666667,60.3866666666667,13.5,489
4633,2020-05-31T06:32:27Z,25.74,60.7516666666667,13,491
4634,2020-05-31T06:02:27Z,25.5233333333333,61.055,14.5,500
4635,2020-05-31T05:32:27Z,25.365,61.2466666666667,16.5,511.333333333333
4636,2020-05-31T05:02:27Z,25.3333333333333,61.21,17,515
4637,2020-05-31T04:32:27Z,25.345,61.18,17,515
4638,2020-05-31T04:02:27Z,25.36,61.15,17.6666666666667,518.333333333333
